# OSU MPI Hello World Test v7.0
This is a test with 2 processes

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       0.35
2                       0.34
4                       0.33
8                       0.36
16                      0.38
32                      0.35
64                      0.32
128                     0.36
256                     0.36
512                     0.42
1024                    0.49
2048                    0.59
4096                    1.32
8192                    2.10
16384                   3.61
32768                   6.02
65536                   9.07
131072                 15.26
262144                 27.48
524288                 55.69
1048576               107.54
